,SRR13711353_SE,SRR13711353-SRR13711354_SE,SRR13711353-SRR13711354-SRR13711355_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_SE,SRR13711353_PE,SRR13711353-SRR13711354_PE,SRR13711353-SRR13711354-SRR13711355_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_PE,SRR12077404_SE,SRR12077404-SRR12077405_SE,SRR12077404-SRR12077405-SRR12077406_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_SE,SRR12077404_PE,SRR12077404-SRR12077405_PE,SRR12077404-SRR12077405-SRR12077406_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_PE
sample_id,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408
rna_dna,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq
layout,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE
m_compress_abridge_save_all_quality_scores_save_approx_quality_scores_br,2274200,12360080,65372304,50383080,40245984,2211960,8050316,7971116,8775136,62510616,1008104,1245816,1530412,1782636,2178656,1001544,1220512,1498916,1751876,2130936
m_compress_abridge_save_all_quality_scores_save_approx_quality_scores_7z,3420312,12360688,86721136,38390524,41545528,7017684,13715548,81350876,270929608,27196560,5201600,8880124,13144660,12572020,15260676,7141940,12676940,13726476,14847296,20275860
m_compress_abridge_save_all_quality_scores_save_approx_quality_scores_zpaq,4437432,12363156,86719460,20073516,49763708,8788600,10945876,61735192,87120712,86271016,7051812,10585024,12350828,11926668,14577764,9553616,12043068,14155656,16320316,18140284
s_compress_abridge_ignore_quality_scores_br,133,265,378,495,643,340,696,1008,1322,1730,239,439,657,829,1255,391,726,1103,1419,2088
s_compress_abridge_ignore_quality_scores_7z,107,212,305,399,518,264,539,781,1026,1341,185,340,519,647,954,323,608,925,1194,1709
s_compress_abridge_ignore_quality_scores_zpaq,93,185,265,347,452,250,511,739,970,1269,178,322,476,600,895,314,589,894,1151,1672
t_compress_abridge_ignore_quality_scores_br,312,658,1010,2077,3113,608,2053,3334,4388,5913,1010,2246,3503,4497,6776,1568,3477,5494,6084,7227
t_compress_abridge_ignore_quality_scores_7z,322,551,814,1338,2194,439,1272,2056,2804,3031,1127,1580,2878,3681,5041,1228,2825,4307,5483,8706
t_compress_abridge_ignore_quality_scores_zpaq,309,717,1249,1589,1673,389,967,2133,2199,3317,971,1299,2890,3721,4526,1125,2701,2902,3697,7302
m_compress_abridge_ignore_quality_scores_br,2274172,12360712,45564848,92301096,14574764,2213916,8049636,81350704,12453448,15030944,1006060,1245928,1530420,1780936,2177968,1000872,1220496,1499220,1752280,2128320
m_compress_abridge_ignore_quality_scores_7z,2686564,12363764,86723496,56311680,13334740,6397032,13269400,31469236,36975412,42242260,4484600,8056540,12253552,11538664,15162400,6267408,11603252,11831332,14742120,20155564
m_compress_abridge_ignore_quality_scores_zpaq,3976112,12360204,82429464,24422524,23307968,8954936,10992016,81349216,15483164,19136096,6433264,9359024,10852872,11824456,14276712,8998268,10497020,12802228,14865980,17021884
