,SRR13711353_PE,SRR13711353_SE,SRR13711353-SRR13711354_SE,SRR13711353-SRR13711354-SRR13711355_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_SE,SRR13711353-SRR13711354_PE,SRR13711353-SRR13711354-SRR13711355_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_PE,SRR12077404_PE,SRR12077404_SE,SRR12077404-SRR12077405_SE,SRR12077404-SRR12077405-SRR12077406_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_SE,SRR12077404-SRR12077405_PE,SRR12077404-SRR12077405-SRR12077406_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_PE
sample_id,SRR13711353,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR12077404,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408
rna_dna,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq
layout,PE,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE,SE,SE,SE,SE,SE,PE,PE,PE,PE
num_reads,,,,,,,,,,,,,,,,,,,,
s_compress_csam_q_1_m_2,1275,1320,2710,4091,5311,6938,2619,3954,5128,6686,2135,1902,3495,5281,6812,9384,3933,5950,7676,10575
s_compress_csam_q_2_m_0,1591,1638,3359,5075,6593,8609,3263,4930,6400,8343,2495,2252,4137,6250,8061,11107,4592,6945,8959,12346
s_compress_csam_q_2_m_1,1354,1399,2868,4333,5627,7350,2777,4194,5441,7095,2214,1978,3633,5490,7080,9755,4075,6164,7952,10957
s_compress_csam_q_2_m_2,1275,1320,2710,4091,5311,6938,2619,3954,5128,6686,2135,1902,3495,5281,6812,9384,3933,5950,7676,10575
t_compress_csam_q_0_m_0,727,816,1141,2626,3427,4465,1195,2723,2231,4671,1060,1625,3147,4770,3904,8465,3263,2875,6328,5216
t_compress_csam_q_0_m_1,867,839,1164,2651,3452,4505,1206,2747,2226,4690,1054,1673,3165,4847,6124,5358,3313,2930,6193,5136
t_compress_csam_q_0_m_2,873,841,1150,2667,3480,3620,1192,2781,2252,4600,1054,1684,3213,4648,5909,5033,3277,2941,6052,5091
t_compress_csam_q_1_m_0,619,592,743,1909,2417,1849,796,2017,1488,3256,819,1336,2408,3696,4594,3706,2561,2206,4845,3942
t_compress_csam_q_1_m_1,619,596,749,1879,2358,1840,802,1986,1519,3236,861,1342,2403,3658,4585,3661,2522,2199,4653,3923
t_compress_csam_q_1_m_2,623,598,755,1832,2371,1856,818,1940,1528,3227,839,1352,2429,3599,4488,3676,2529,2204,2836,3943
t_compress_csam_q_2_m_0,639,608,766,1851,2411,1875,824,1966,1489,3231,831,1336,2418,3574,2623,3612,2488,2221,3006,3902
t_compress_csam_q_2_m_1,641,606,775,1876,2375,1852,835,1969,1489,2262,842,1297,2395,3523,2606,3590,2504,2220,2763,3746
t_compress_csam_q_2_m_2,643,618,790,1877,2389,1870,838,1978,1495,1966,867,1315,2403,3501,2974,3431,2509,2229,2643,3741
m_compress_csam_q_0_m_0,1133080,736800,1035636,1301620,1592960,1961056,2137044,2890788,3722044,4769908,972760,777128,970852,1136544,1259312,1922616,1238556,1555800,1816376,2727828
m_compress_csam_q_0_m_1,1245720,736472,1035636,1301608,1581812,1946340,2137044,2894808,3722064,4815508,972760,831556,970720,1134992,1259208,1922700,1242968,1556484,1816400,2728320
m_compress_csam_q_0_m_2,1225728,731296,1035632,1301424,1583364,1946468,2137048,2894804,3722156,4818576,972756,831948,970744,1135020,1259244,1922760,1243092,1556488,1816452,2728400
m_compress_csam_q_1_m_0,1498356,995444,1292788,1564168,1847112,2228044,2400656,3203088,3934628,5007440,1234932,1094336,1234992,1401484,1522664,2192720,1505784,1823972,2079812,2992548
m_compress_csam_q_1_m_1,1512496,995332,1293540,1567480,1846388,2228988,2401484,3203188,3934092,5009204,1235112,1094364,1236400,1401620,1522268,2192532,1505732,1825100,2079400,2946044
m_compress_csam_q_1_m_2,1467308,995728,1297916,1566224,1846972,2202384,2371308,3203000,3952580,5085480,1234916,1094364,1234100,1401664,1522372,2189628,1507396,1822636,2079868,2994412
m_compress_csam_q_2_m_0,1500948,995448,1293644,1566612,1845688,2228128,2399824,3203196,3934208,5007416,1235104,1094364,1236884,1402424,1522588,2192604,1505784,1825280,2080016,2998520
m_compress_csam_q_2_m_1,1520504,995308,1294172,1565972,1846076,2228432,2400572,3203304,3934000,5007320,1235100,1094480,1235996,1402168,1522608,2193484,1505776,1823868,2081264,2997916
m_compress_csam_q_2_m_2,1510172,995656,1297280,1566220,1847576,2201384,2370048,3202860,3953224,5085436,1234916,1094480,1234576,1401968,1524728,2191440,1505724,1823272,2081672,2998624
s_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_br,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_7z,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_zpaq,,,,,,,,,,,,,,,,,,,,
t_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_br,160,73,149,184,270,362,363,781,1004,911,511,164,319,506,713,969,1307,2026,1986,2715
t_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_7z,188,103,210,270,353,469,431,629,816,1075,747,221,406,615,791,1328,1266,1675,2189,3753
t_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_zpaq,1406,1169,2414,3600,4944,6434,3234,4867,5767,8257,3540,2760,4922,7545,10943,12875,6091,8383,10548,14544
m_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_br,3605964,4178596,6256548,7915368,9445868,11281480,5778784,7615236,9223840,11163560,10365308,9881340,15904656,22366360,27569816,35715480,17181940,25675068,32429096,43458644
m_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_7z,3605940,4167668,6262156,7911860,9442320,11270256,5802928,7618848,9223064,11163088,10385188,9899048,15906588,22393744,27585432,35711424,17578272,25650664,32429036,43480600
m_decompress_abridge_save_all_quality_scores_save_exact_quality_scores_zpaq,3600084,4182876,6267728,7917468,9445896,11268804,5791628,7609228,9225756,11174928,10385880,9911992,15908736,22376652,4893456,4985332,17601816,5195612,5189964,5131224
s_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_br,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_7z,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_zpaq,,,,,,,,,,,,,,,,,,,,
t_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_br,248,80,165,202,289,352,530,816,1014,1984,522,203,372,586,723,1126,1288,1620,2685,2965
t_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_7z,265,85,174,227,282,392,403,874,1560,1456,542,201,394,627,812,1399,1282,1692,2726,3178
t_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_zpaq,671,300,593,863,1202,1456,1623,2292,3568,3910,1253,576,957,1532,1853,2701,1893,3535,4519,5198
m_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_br,3598460,4182868,6269440,7917484,9447540,11266608,5800320,5255128,6275172,7500236,10388612,9912336,15924768,22380440,27605996,35726552,17241552,25685128,32470504,43499716
m_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_7z,3605948,4182864,6260400,7904616,9447464,11281564,5797556,5257192,6278512,7499408,10378452,9911080,15923072,22379680,27589452,35735712,17590272,25668420,32470436,43422240
m_decompress_abridge_save_all_quality_scores_save_approx_quality_scores_zpaq,3600588,4167664,6270304,7902284,9442292,11272220,5801132,5261480,6289440,7503232,10396084,9910124,15929196,22398948,27601452,35743936,17601116,25686196,32472460,43516568
s_decompress_abridge_ignore_quality_scores_br,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_ignore_quality_scores_7z,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_ignore_quality_scores_zpaq,,,,,,,,,,,,,,,,,,,,
t_decompress_abridge_ignore_quality_scores_br,235,56,113,146,182,271,338,729,625,834,472,134,258,385,507,680,1248,1380,2425,2477
t_decompress_abridge_ignore_quality_scores_7z,248,62,124,167,225,292,515,522,991,1294,677,140,277,409,556,745,1049,1454,2479,2519
t_decompress_abridge_ignore_quality_scores_zpaq,634,254,499,718,1023,1314,1552,2245,2544,3889,1131,495,881,1213,1559,2432,2113,2507,3225,4636
m_decompress_abridge_ignore_quality_scores_br,1529552,1887648,1886264,1886164,1893152,1902112,1769928,2004172,2189444,2419384,1370384,1904448,1903792,1908228,1905172,1907100,1434228,1472584,1553596,1615396
m_decompress_abridge_ignore_quality_scores_7z,1531672,1896300,1886220,1888048,1888860,1886816,1767916,2007960,2198284,2418120,1377172,1881940,1896964,1899316,1910052,1906728,1415804,1486100,1555292,1614396
m_decompress_abridge_ignore_quality_scores_zpaq,1522832,1898500,1886416,1889956,1890260,1900040,1767980,2010376,2197176,2417912,1380756,1893176,1899304,1908348,1906216,1911344,1432900,1487788,1549084,1627656
s_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,,,,,,,,,,,,,,,,,,,,
t_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,220,57,97,129,180,229,457,676,872,762,428,115,231,339,442,727,938,1275,2278,2334
t_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,230,52,109,130,186,225,336,712,609,826,437,121,238,362,463,632,1201,1340,1677,2398
t_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,603,216,457,642,842,1030,1469,1792,2356,3645,814,396,768,1054,1433,2029,1942,2928,3758,4107
m_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,1513624,1878044,1884852,1886628,1892496,1880040,1735516,1953248,2133076,2344588,1350824,1888364,1882700,1896932,1882488,1899212,1389152,1423600,1475700,1498968
"""m_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z		""",,,,,,,,,,,,,,,,,,,,
m_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,1504024,1881524,1885060,1883840,1882844,1880452,1731988,1949400,2133288,2344880,1357504,1898228,1893508,1902300,1906168,1903480,1386160,1428016,1472156,1529172
s_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,,,,,,,,,,,,,,,,,,,,
s_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,,,,,,,,,,,,,,,,,,,,
t_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,195,45,89,109,160,206,263,603,774,998,418,124,220,338,419,577,1157,1257,1590,2318
t_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,199,45,92,113,148,193,410,396,514,1024,426,128,232,364,459,709,875,1267,1638,2278
t_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,198,80,163,232,296,327,556,823,744,971,661,317,556,889,1034,1476,1273,1861,3157,4234
m_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,1504060,1890968,1884456,1892784,1879344,1882580,1735372,1951304,2123720,2338016,1344732,1901700,1887856,1877848,1883748,1902428,1386216,1410432,1444968,1510124
m_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,1515580,1879072,1878500,1878480,1892768,1886268,1730900,1954992,2124188,2337448,1336416,1897500,1894808,1897092,1879468,1883252,1368000,1425352,1450384,1519200
m_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,1515292,1886104,1878084,1887252,1886396,1881732,1735452,1949376,2128380,2342612,1350804,1888776,1891260,1902808,1902160,1908200,1393836,1434472,1473912,1588696
s_decompress_deez_lossy_0_mode_1,,,,,,,,,,,,,,,,,,,,
s_decompress_deez_lossy_0_mode_2,,,,,,,,,,,,,,,,,,,,
s_decompress_deez_lossy_50_mode_1,,,,,,,,,,,,,,,,,,,,
s_decompress_deez_lossy_50_mode_2,,,,,,,,,,,,,,,,,,,,
s_decompress_deez_lossy_99_mode_1,,,,,,,,,,,,,,,,,,,,
s_decompress_deez_lossy_99_mode_2,,,,,,,,,,,,,,,,,,,,
t_decompress_deez_lossy_0_mode_1,330,374,811,1249,1678,2128,895,1292,1736,2290,908,960,1762,2678,3567,5159,2051,2882,3783,5068
t_decompress_deez_lossy_0_mode_2,332,353,785,1206,1527,2110,854,1247,1598,2162,895,919,1700,2615,3488,5075,1891,2826,3730,4963
t_decompress_deez_lossy_50_mode_1,362,383,825,1245,1633,2228,880,1301,1708,2246,921,944,1757,2721,3616,5391,1941,2825,3788,5158
t_decompress_deez_lossy_50_mode_2,340,361,768,1176,1367,2072,829,1233,1627,2132,915,913,1689,2546,3541,5126,1863,2771,3682,4944
t_decompress_deez_lossy_99_mode_1,342,369,801,1204,1607,2071,824,1090,1650,2196,975,947,1777,2686,3621,5464,1961,2804,3809,5158
t_decompress_deez_lossy_99_mode_2,326,369,757,1140,1509,2052,786,1232,1579,2159,929,861,1690,2190,3463,5014,1889,2711,3698,4885
m_decompress_deez_lossy_0_mode_1,2721264,3178312,3203192,3177036,3184876,3224136,3143612,3179052,3173656,3187560,3138724,3152376,3168372,3169256,3212968,3170776,3150540,3149712,3174464,3175656
m_decompress_deez_lossy_0_mode_2,2721264,2761868,2800864,2787120,2801208,2863988,2737100,2783864,2791176,2815336,2736256,2750680,2785908,2814400,2879868,2873720,2770916,2794996,2842944,2879720
m_decompress_deez_lossy_50_mode_1,3138380,3179152,3203324,3175996,3186156,3225160,3142380,3179048,3174936,3187560,3138724,3157564,3164740,3167944,3211400,3168820,3148592,3149708,3174652,3174224
m_decompress_deez_lossy_50_mode_2,2721264,2762900,2800952,2786364,2804692,2864628,2737120,2784188,2789708,2815336,2737960,2750008,2785680,2815108,2879136,2871928,2769584,2794044,2842952,2878260
m_decompress_deez_lossy_99_mode_1,3138380,3178924,3202772,3175852,3185656,3224548,3143908,3179224,3174376,3192484,3140680,3151528,3167824,3167380,3211180,3168828,3150692,3147756,3173688,3173544
m_decompress_deez_lossy_99_mode_2,2721264,2763672,2800140,2786516,2808064,2863164,2737276,2784188,2788900,2819776,2736772,2757360,2788308,2815892,2880028,2873300,2769180,2794632,2842948,2879704
s_decompress_samcomp,,,,,,,,,,,,,,,,,,,,
t_decompress_samcomp,179,190,401,605,775,1032,410,630,822,1056,427,429,707,1284,1632,2382,857,1231,1562,2172
m_decompress_samcomp,476024,476020,476020,476024,476016,476020,476024,476016,475792,475808,476024,476024,476028,476032,475792,476016,476020,476020,476020,475788
s_decompress_genozip_optimize__compression_best,,,,,,,,,,,,,,,,,,,,
s_decompress_genozip_optimize__compression_fast,,,,,,,,,,,,,,,,,,,,
s_decompress_genozip_optimize_optimize_compression_best,,,,,,,,,,,,,,,,,,,,
s_decompress_genozip_optimize_optimize_compression_fast,,,,,,,,,,,,,,,,,,,,
t_decompress_genozip_optimize__compression_best,831,923,1279,1639,3844,5023,1224,1641,2398,3095,3334,1916,3706,4718,5954,8148,6156,5565,6012,8228
t_decompress_genozip_optimize__compression_fast,673,471,1543,1611,3043,4011,1059,1307,3130,2522,1289,879,1819,2324,3360,3772,2571,2279,3260,3853
t_decompress_genozip_optimize_optimize_compression_best,592,640,1149,2915,2544,2795,1937,1844,3756,3277,3259,1920,3554,5615,6011,7994,3641,5255,6164,8202
t_decompress_genozip_optimize_optimize_compression_fast,480,476,1592,2333,2091,2803,1003,1585,2097,2653,820,1253,1814,2427,3340,3876,1488,3822,5084,4349
m_decompress_genozip_optimize__compression_best,1389372,1952448,3751776,4152300,4017236,4151896,1577384,2372188,2005356,2133716,1879124,3854928,5100792,6280860,6431852,7020852,2720836,3760784,3989440,5041996
m_decompress_genozip_optimize__compression_fast,920728,1850052,2928204,3588868,3624016,3820020,1161992,1438996,1577872,1890028,1778536,2627920,4820480,5268428,5272836,6920956,2360788,3188460,4101852,4567416
m_decompress_genozip_optimize_optimize_compression_best,1331024,2018704,3809676,3989900,4028032,4367956,1705136,2172932,1957312,2178420,1989844,3809772,5148956,5251968,6422612,7027768,2735168,3687216,3976152,5060580
m_decompress_genozip_optimize_optimize_compression_fast,877200,1826128,2928100,3537900,3698356,3917784,1133116,1290412,1578640,1987568,1799616,2572500,4811496,5271744,5269420,6915656,2423648,3161520,3994912,4513332
s_decompress_csam_q_0_m_0,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_0_m_1,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_0_m_2,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_1_m_0,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_1_m_1,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_1_m_2,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_2_m_0,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_2_m_1,,,,,,,,,,,,,,,,,,,,
s_decompress_csam_q_2_m_2,,,,,,,,,,,,,,,,,,,,
t_decompress_csam_q_0_m_0,104,119,251,373,480,626,213,317,444,555,273,272,509,805,973,1354,573,839,1061,1542
t_decompress_csam_q_0_m_1,103,129,249,369,493,616,221,307,415,550,286,275,524,830,1054,1435,533,835,1054,1525
t_decompress_csam_q_0_m_2,106,119,244,369,489,629,216,331,433,551,289,279,531,834,1073,1436,541,863,1099,1549
t_decompress_csam_q_1_m_0,103,117,247,361,471,650,206,319,405,512,266,259,505,744,1007,1321,505,782,1024,1313
t_decompress_csam_q_1_m_1,102,116,238,360,468,649,202,315,395,530,267,260,490,729,948,1306,502,763,987,1354
t_decompress_csam_q_1_m_2,100,116,243,379,480,613,216,316,409,563,264,253,484,726,938,1240,499,751,1022,1349
t_decompress_csam_q_2_m_0,101,117,242,368,495,607,212,315,413,569,265,249,458,728,956,1350,475,725,985,1374
t_decompress_csam_q_2_m_1,102,116,242,367,496,601,208,303,408,525,255,251,473,751,961,1308,497,788,934,1364
t_decompress_csam_q_2_m_2,101,115,238,361,489,617,205,317,416,528,262,241,472,722,941,1288,501,750,1021,1355
m_decompress_csam_q_0_m_0,1145240,1184664,1323028,1408204,1589520,1848084,1316192,1324156,1325264,1472896,1291636,1286664,1327036,1435856,1625036,1934648,1328144,1449656,1642752,1960712
m_decompress_csam_q_0_m_1,1146280,1184340,1322764,1408176,1591568,1848164,1316168,1324236,1325804,1473144,1291104,1286148,1326272,1434380,1627088,1936648,1327092,1449552,1642800,1960708
m_decompress_csam_q_0_m_2,1145712,1183916,1322668,1407164,1589520,1850180,1315756,1323916,1325496,1471740,1291468,1286712,1327404,1436092,1624992,1934596,1326732,1449764,1642752,1959084
m_decompress_csam_q_1_m_0,1671604,1937304,3439448,4902932,6308264,8119312,3100704,4260116,5104900,6592784,2211920,2262884,3838924,5603972,6937028,9486828,3768756,5644312,7147936,9496284
m_decompress_csam_q_1_m_1,1646456,1692360,2915924,4114440,5259676,6808576,2576664,3473668,4318456,5546240,1947724,2000736,3314632,4822344,5914012,7915988,3372228,4857820,6099340,8185620
m_decompress_csam_q_1_m_2,1411504,1611284,2653776,3852288,4997528,6284332,2314520,3473672,4058368,5281996,1906148,1929192,3242496,4560144,5651864,7651792,3228636,4595668,5835564,7663300
m_decompress_csam_q_2_m_0,1671604,1939344,3439452,4902928,6308264,8121412,3103008,4260056,5106948,6592740,2209876,2262884,3838924,5603896,6937028,9486348,3768752,5644308,7147932,9496384
m_decompress_csam_q_2_m_1,1646460,1692356,2915924,4116484,5259680,6808624,2576660,3475712,4318460,5546240,1947724,2002780,3316684,4822292,5914016,7915988,3374372,4856172,6099388,8187596
m_decompress_csam_q_2_m_2,1409452,1611288,2653776,3852296,4997528,6284328,2314516,3473668,4056308,5282040,1908124,1929188,3242500,4560148,5651864,7653840,3226588,4595676,5837200,7661244
s_abridge_random_access,,,,,,,,,,,,,,,,,,,,
t_abridge_random_access,53,47,90,131,167,214,100,144,186,239,76,68,119,179,228,312,134,203,262,356
m_abridge_random_access,10945740,11118632,12787064,13581920,14390564,15416944,10973376,10995184,11019336,11022668,11049436,11048608,11154712,12140640,12526548,13146620,11153380,12136700,12525832,13148600
s_csam_random_access,,,,,,,,,,,,,,,,,,,,
t_csam_random_access,1,1,1,2,1,2,4,2,3,6,1,2,1,6,24,3,36,5,2,6
m_csam_random_access,13032,13840,18108,20488,26436,27148,19396,20156,21952,28628,31712,32732,52124,57456,94144,101104,52632,57728,93996,103332
s_deez_random_access,,,,,,,,,,,,,,,,,,,,
t_deez_random_access,432,435,919,1421,1884,2476,941,1438,1819,2374,1688,1733,2836,3840,4695,5964,2706,3699,4459,5846
m_deez_random_access,3138380,3177928,3202820,3175312,3184180,3222484,3141576,3176932,3174200,3187736,3139524,3152768,3126852,3149016,3171076,3169440,3149140,3149256,3170952,3172560
s_genozip_random_access,,,,,,,,,,,,,,,,,,,,
t_genozip_random_access,2,2,7,9,9,9,2,3,4,5,2,5,34,36,41,42,8,13,16,21
m_genozip_random_access,137556,136228,734712,782188,795108,830400,186744,222256,265556,308400,280684,301228,1279304,1412824,1447884,1615800,496372,702932,850852,1101556
s_bam_random_access,,,,,,,,,,,,,,,,,,,,
t_bam_random_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m_bam_random_access,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240
s_cram_random_access,,,,,,,,,,,,,,,,,,,,
t_cram_random_access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m_cram_random_access,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320
m_decompress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,1504288,1892168,1878640,1893328,1881020,1880312,1733116,1951316,2127876,2334580,1344064,1887336,1904344,1878672,1895172,1904444,1387944,1422020,1464496,1504952
